feature,human_mean,machine_mean,abs_diff,ratio
line_length_variance,17106.55454244918,865.5701701906941,16240.984372258485,19.763336505323917
length,601.7883052693306,1057.2063461685677,455.4180408992371,0.5692250216339296
max_line_length,56.14124151796934,99.00807624588532,42.86683472791598,0.5670369897758973
num_unique_identifiers,27.131523833458992,50.65892214652071,23.527398313061717,0.5355724654975196
indent_variance,3.0955431170143126,15.81644510807743,12.720901991063117,0.19571674266004466
num_lines,32.78633660048588,40.25840159228355,7.472064991797666,0.8143973755473228
max_indent,4.138812096841752,11.423524458393937,7.2847123615521845,0.36230605641156377
avg_line_length,20.039743135673866,27.26359924659191,7.223856110918042,0.7350365941935909
num_operators,12.09131272514032,17.221312102886014,5.129999377745694,0.7021133263773793
max_identifier_length,9.19443746334925,13.912118196432672,4.717680733083423,0.6608941451997493
num_double_quotes,0.6614727318421714,4.9646329327107095,4.303160200868538,0.13323698666298067
num_brackets,27.59416101197956,31.413955446681467,3.819794434701908,0.8784045377162006
num_hash_comments,0.6756303928960375,3.885822552246804,3.2101921593507665,0.17387062425312869
max_nesting,0.4632235905168803,2.9560208221694864,2.492797231652606,0.15670511758334324
avg_indent,1.8388177376627308,4.265577271528258,2.4267595338655275,0.43108297438107945
num_comparisons,6.006827511099941,7.286764142999311,1.2799366318993695,0.8243477342231453
num_single_quotes,3.8524754963558685,4.957169103574983,1.1046936072191142,0.7771523254225002
string_quote_ratio,3.562108271499573,2.4784831309676574,1.0836251405319155,1.4372130384881188
avg_identifier_length,3.14932391887626,4.030820363654897,0.8814964447786369,0.7813109081399622
num_blank_lines,7.792033174164363,7.0897956059098215,0.7022375682545414,1.0990490568824267
has_return,0.09370025969674123,0.6223302457322207,0.5286299860354795,0.15056356386229544
has_if,0.2867135796263718,0.7781137564112378,0.491400176784866,0.36847257520382654
has_def,0.25864957694563123,0.6148664165964939,0.35621683965086265,0.420659788799898
has_comments,0.24277456647398843,0.5966852943428003,0.35391072786881184,0.4068720459105409
has_with,0.002764513696908771,0.13656893516037663,0.13380442146346785,0.02024262467641215
has_for,0.6869397671106643,0.8118349536859834,0.12489518657531906,0.8461569238818112
has_while,0.12226690123146519,0.24653601776008574,0.12426911652862055,0.4959393047000869
has_elif,0.0317081343721203,0.1271913036821557,0.09548316931003539,0.24929482955342008
single_letter_var_ratio,0.32422478029034446,0.2297630742958151,0.09446170599452935,1.4111265758609755
has_from,0.12632989863449778,0.20837479905075404,0.08204490041625626,0.6062628456511552
has_class,0.17831113345061572,0.1149046926433438,0.06340644080727192,1.551817679057557
special_char_ratio,0.2214782473571568,0.16606695260844803,0.05541129474870876,1.333668402282044
has_else,0.08603501717349418,0.1412003368292123,0.05516531965571811,0.6093116992883462
num_slashslash_comments,0.7808075730920667,0.733866646252775,0.04694092683929174,1.063963837406944
blank_line_ratio,0.11715580641551164,0.1543655923486774,0.03720978593316575,0.7589502597890004
space_ratio,0.2679416100841314,0.2987018236037321,0.030760213519600677,0.8970203357030447
alpha_ratio,0.47906910628439353,0.5071687995837213,0.028099693299327766,0.9445949882516597
has_lambda,0.03497528692301248,0.012707647554160607,0.02226763936885187,2.7523022474416385
has_except,0.0015498031331155231,0.01397075710020669,0.012420953967091168,0.11093193604322235
identifier_diversity,0.42697214905250497,0.4389352243221208,0.01196307526961582,0.9727452375505036
has_try,0.0055709139649828265,0.012669371507310725,0.007098457542327899,0.43971510045057804
has_import,0.2558431766775572,0.26050677486029244,0.004663598182735262,0.9820979773549601
digit_ratio,0.03151103627431825,0.02806179616499646,0.003449240109321787,1.1229158707105242
