feature,importance
max_nesting,0.16415680236714822
indent_variance,0.16090413281711885
max_indent,0.105237081749356
avg_indent,0.08369198498161928
has_return,0.059387808038967566
blank_line_ratio,0.05442911597975036
num_hash_comments,0.048810479751444244
num_blank_lines,0.044907301878226905
has_if,0.03737712649005412
special_char_ratio,0.0326848102450361
num_double_quotes,0.03231750859528252
has_class,0.028863368244964483
avg_line_length,0.015962669212117767
line_length_variance,0.012488878275086183
num_unique_identifiers,0.011805427178373655
avg_identifier_length,0.011724529932389096
num_lines,0.011450897259426492
max_line_length,0.010608862138905864
alpha_ratio,0.00785760675793975
has_def,0.0076361162950855195
length,0.0075869627275534325
space_ratio,0.007454777581400914
num_brackets,0.005637222178726305
num_comparisons,0.005312364855857639
identifier_diversity,0.0051606065489934435
max_identifier_length,0.004623535853537233
has_comments,0.002909695452103288
single_letter_var_ratio,0.002818237921642457
has_with,0.002778871204553656
string_quote_ratio,0.002636501481702717
num_operators,0.0023090807470629747
has_import,0.0018379249896290327
digit_ratio,0.0018091007774708122
num_single_quotes,0.001345504643158225
has_for,0.0012085999539809629
has_while,0.0005219802997076268
num_slashslash_comments,0.0005078961115046855
has_else,0.00033879288295869783
has_elif,0.0003263038402282615
has_from,0.0002634617748273779
has_lambda,0.0002510010881073382
has_try,4.4110001976238024e-05
has_except,1.4958895023816311e-05
